tick: 341.0,             Human number: 0,             Zombie number: 105
tick: 342.0,             Human number: 0,             Zombie number: 105
tick: 343.0,             Human number: 0,             Zombie number: 105
tick: 344.0,             Human number: 0,             Zombie number: 105
tick: 345.0,             Human number: 0,             Zombie number: 105
tick: 346.0,             Human number: 0,             Zombie number: 105
tick: 347.0,             Human number: 0,             Zombie number: 105
tick: 348.0,             Human number: 0,             Zombie number: 105
tick: 349.0,             Human number: 0,             Zombie number: 105
tick: 350.0,             Human number: 0,             Zombie number: 105
tick: 351.0,             Human number: 0,             Zombie number: 105
tick: 352.0,             Human number: 0,             Zombie number: 105
tick: 353.0,             Human number: 0,             Zombie number: 105
tick: 354.0,             Human number: 0,             Zombie number: 105
tick: 355.0,             Human number: 0,             Zombie number: 105
tick: 356.0,             Human number: 0,             Zombie number: 105
tick: 357.0,             Human number: 0,             Zombie number: 105
tick: 358.0,             Human number: 0,             Zombie number: 105
tick: 359.0,             Human number: 0,             Zombie number: 105
tick: 360.0,             Human number: 0,             Zombie number: 105
tick: 361.0,             Human number: 0,             Zombie number: 105
tick: 362.0,             Human number: 0,             Zombie number: 105
tick: 363.0,             Human number: 0,             Zombie number: 105
tick: 364.0,             Human number: 0,             Zombie number: 105
tick: 365.0,             Human number: 0,             Zombie number: 105
tick: 366.0,             Human number: 0,             Zombie number: 105
tick: 367.0,             Human number: 0,             Zombie number: 105
tick: 368.0,             Human number: 0,             Zombie number: 105
tick: 369.0,             Human number: 0,             Zombie number: 105
tick: 370.0,             Human number: 0,             Zombie number: 105
tick: 371.0,             Human number: 0,             Zombie number: 105
tick: 372.0,             Human number: 0,             Zombie number: 105
tick: 373.0,             Human number: 0,             Zombie number: 105
tick: 374.0,             Human number: 0,             Zombie number: 105
tick: 375.0,             Human number: 0,             Zombie number: 105
tick: 376.0,             Human number: 0,             Zombie number: 105
tick: 377.0,             Human number: 0,             Zombie number: 105
tick: 378.0,             Human number: 0,             Zombie number: 105
tick: 379.0,             Human number: 0,             Zombie number: 105
tick: 380.0,             Human number: 0,             Zombie number: 105
tick: 381.0,             Human number: 0,             Zombie number: 105
tick: 382.0,             Human number: 0,             Zombie number: 105
tick: 383.0,             Human number: 0,             Zombie number: 105
tick: 384.0,             Human number: 0,             Zombie number: 105
tick: 385.0,             Human number: 0,             Zombie number: 105
tick: 386.0,             Human number: 0,             Zombie number: 105
